endpoint,io_ms,concorrencia,arm,reps,rps_media,rps_dp,rps_cv_pct,lat_media_ms,p95_mediana_ms,p99_mediana_ms,p99_pior_ms,cpu_media_pct,mem_media_mb,loop_p99_ms,erro_pct,deriva_pct,enlace_pct,req_por_vcpu_hora,usd_por_milhao_req,vcpus_para_10k_rps
get,0,10,express-plain,5,22194.0,500.9,2.26,0.05,0,2,2,98.9,30.9,12.547,0.0,-0.34,0,80760901,0.0005,0.45
get,0,10,express-zod,5,22371.8,99.7,0.45,0.05,0,2,2,98.8,31.4,12.653,0.0,-0.64,0,81556954,0.0005,0.44
get,0,10,fastify-plain,5,114119.3,600.6,0.53,0.01,0,0,0,100.9,23.7,10.071,0.0,0.69,0,407084423,0.0001,0.09
get,0,10,fastify-schema,5,110745.2,421.5,0.38,0.01,0,0,0,100.9,25.6,10.076,0.0,0.39,0,394958243,0.0001,0.09
get,0,100,express-plain,5,21977.2,512.5,2.33,3.93,8,9,9,98.7,37.4,17.128,0.0,2.65,0,80139060,0.0005,0.45
get,0,100,express-zod,5,22246.0,231.1,1.04,3.782,8,9,9,98.7,38.8,17.074,0.0,-0.74,0,81152402,0.0005,0.44
get,0,100,fastify-plain,5,111383.9,1126.6,1.01,0.01,0,0,0,101.1,29.5,10.802,0.0,-1.22,0,396750091,0.0001,0.09
get,0,100,fastify-schema,5,105558.6,637.7,0.6,0.048,1,1,1,100.8,36.1,10.627,0.0,0.53,0,377124132,0.0001,0.1
get,0,500,express-plain,5,19356.4,192.4,0.99,25.346,31,32,35,98.8,58.1,30.461,0.0,-1.15,0,70531910,0.0006,0.51
get,0,500,express-zod,5,19356.6,210.9,1.09,25.34,31,32,32,98.6,58.7,28.708,0.0,0.47,0,70642508,0.0006,0.51
get,0,500,fastify-plain,5,102848.2,795.9,0.77,4.146,5,10,10,100.1,40.0,18.186,0.0,1.35,0,369803411,0.0001,0.1
get,0,500,fastify-schema,5,99113.4,1101.9,1.11,4.334,6,11,11,100.3,40.1,18.117,0.0,-0.04,0,355872622,0.0001,0.1
post,0,10,express-plain,5,18122.8,151.6,0.84,0.056,1,2,3,98.8,31.0,12.607,0.0,-1.57,0,66023521,0.0006,0.55
post,0,10,express-zod,5,16776.0,109.7,0.65,0.06,1,3,3,98.8,31.4,12.853,0.0,1.2,0,61148990,0.0007,0.59
post,0,10,fastify-plain,5,55040.1,280.7,0.51,0.02,0,0,0,99.7,32.3,12.868,0.0,-0.52,0,198820910,0.0002,0.18
post,0,10,fastify-schema,5,50745.6,435.5,0.86,0.02,0,0,0,99.6,33.2,12.798,0.0,-1.17,0,183391025,0.0002,0.2
post,0,100,express-plain,5,17358.2,265.1,1.53,5.076,9,10,10,98.6,39.0,18.124,0.0,-2.4,0,63365534,0.0007,0.57
post,0,100,express-zod,5,16203.9,109.5,0.68,5.858,10,10,10,98.7,37.3,17.94,0.0,-0.2,0,59077166,0.0007,0.61
post,0,100,fastify-plain,5,51944.9,383.1,0.74,1.336,5,5,5,99.4,38.6,14.406,0.0,0.85,0,188061963,0.0002,0.19
post,0,100,fastify-schema,5,47766.3,286.7,0.6,1.388,5,6,6,99.5,39.5,14.257,0.0,-0.86,0,172785625,0.0002,0.21
post,0,500,express-plain,5,15925.9,276.7,1.74,30.906,37,37,40,98.6,57.1,35.17,0.0,-2.07,0,58151451,0.0007,0.62
post,0,500,express-zod,5,14701.4,121.7,0.83,33.524,40,41,44,98.9,54.2,37.342,0.0,1.22,0,53523205,0.0008,0.67
post,0,500,fastify-plain,5,47651.6,1563.0,3.28,10.07,15,16,17,99.4,49.5,22.194,0.0,-3.89,0,172516727,0.0002,0.21
post,0,500,fastify-schema,5,44510.0,499.5,1.12,10.664,17,17,18,99.4,51.8,24.297,0.0,0.06,0,161170758,0.0003,0.22
