endpoint,io_ms,concorrencia,arm,reps,rps_media,rps_dp,rps_cv_pct,lat_media_ms,p95_mediana_ms,p99_mediana_ms,p99_pior_ms,cpu_media_pct,mem_media_mb,loop_p99_ms,erro_pct,deriva_pct,enlace_pct,req_por_vcpu_hora,usd_por_milhao_req,vcpus_para_10k_rps
get,0,10,express-plain,5,14698.8,179.0,1.22,0.056,1,2,3,98.7,30.2,12.552,0.0,-1.24,0,53614202,0.0008,0.67
get,0,10,express-zod,5,14646.3,281.4,1.92,0.06,0,3,3,98.7,30.9,12.642,0.0,-1.96,0,53417869,0.0008,0.67
get,0,10,fastify-plain,5,36706.2,404.9,1.1,0.01,0,0,0,99.1,25.5,10.186,0.0,-0.88,0,133361834,0.0003,0.27
get,0,10,fastify-schema,5,22160.8,172.4,0.78,0.01,0,0,0,98.9,33.3,10.291,0.0,0.92,0,80661262,0.0005,0.45
get,0,100,express-plain,5,14626.3,382.3,2.61,6.46,10,10,11,98.6,36.0,18.104,0.0,2.8,0,53416969,0.0008,0.67
get,0,100,express-zod,5,14708.9,49.4,0.34,6.454,10,10,11,98.5,36.6,18.055,0.0,0.08,0,53731615,0.0008,0.67
get,0,100,fastify-plain,5,35336.9,572.9,1.62,2.054,2,4,5,99.1,34.2,12.042,0.0,-1.3,0,128313175,0.0003,0.28
get,0,100,fastify-schema,5,21607.3,114.4,0.53,4.088,4,9,9,98.7,35.0,14.374,0.0,-0.37,0,78819345,0.0005,0.46
get,0,500,express-plain,5,13555.1,349.7,2.58,36.41,41,42,47,98.7,50.6,42.428,0.0,-0.07,0,49430477,0.0009,0.73
get,0,500,express-zod,5,13627.3,164.3,1.21,36.196,42,42,46,98.6,51.5,41.235,0.0,-0.9,0,49765607,0.0009,0.72
get,0,500,fastify-plain,5,34332.8,433.4,1.26,14.06,15,20,21,99.2,39.4,21.663,0.0,0.46,0,124651318,0.0003,0.29
get,0,500,fastify-schema,5,21283.5,253.6,1.19,23.082,25,30,31,98.8,40.4,33.994,0.0,0.4,0,77544473,0.0005,0.46
post,0,10,express-plain,5,18269.6,135.0,0.74,0.056,1,2,3,98.8,31.0,12.607,0.0,-0.85,0,66556422,0.0006,0.54
post,0,10,express-zod,5,16802.9,133.0,0.79,0.06,1,3,3,98.8,31.5,12.812,0.0,-0.1,0,61240253,0.0007,0.59
post,0,10,fastify-plain,5,54806.8,425.2,0.78,0.02,0,0,0,99.7,32.1,12.902,0.0,1.2,0,197994805,0.0002,0.18
post,0,10,fastify-schema,5,50982.2,316.7,0.62,0.02,0,0,0,99.6,33.2,12.714,0.0,-1.21,0,184255710,0.0002,0.2
post,0,100,express-plain,5,17319.9,173.6,1.0,5.084,9,9,9,98.6,39.7,17.583,0.0,-1.12,0,63227171,0.0007,0.57
post,0,100,express-zod,5,16112.0,56.7,0.35,5.904,10,11,11,98.6,37.9,17.444,0.0,-0.05,0,58830576,0.0007,0.61
post,0,100,fastify-plain,5,52054.7,638.5,1.23,1.33,5,5,5,99.6,38.5,14.307,0.0,-0.19,0,188149755,0.0002,0.19
post,0,100,fastify-schema,5,47276.1,627.7,1.33,1.41,5,6,6,99.6,38.8,14.503,0.0,-0.51,0,170925512,0.0002,0.21
post,0,500,express-plain,5,16088.6,150.2,0.93,30.596,36,37,39,98.6,55.7,35.684,0.0,1.64,0,58748842,0.0007,0.61
post,0,500,express-zod,5,14644.0,148.5,1.01,33.652,41,41,41,98.6,54.0,37.342,0.0,-1.65,0,53466916,0.0008,0.67
post,0,500,fastify-plain,5,47916.7,1143.1,2.39,10.012,16,16,17,99.3,49.7,23.776,0.0,-0.38,0,173697635,0.0002,0.21
post,0,500,fastify-schema,5,44189.2,1021.4,2.31,10.752,17,18,18,99.2,52.7,22.882,0.0,1.31,0,160320890,0.0003,0.22
