arm,framework,variant,endpoint,concurrency,rep,io_ms,rps_mean,rps_stddev,total_requests,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,non2xx,errors,timeouts,throughput_mb,cpu_samples,cpu_mean_pct,cpu_max_pct,mem_mean_mb,mem_max_mb,loop_p99_ms,loop_max_ms,rss_final_mb,link_util_pct,link_speed_mbps
express-plain,express,plain,get,100,1,0,6754.4,67.19,405229,14.16,13,18,18,407,0,0,0,316.44583333969115,120,98.47516666666667,100.51,35.21516666666667,35.64,17.793023,22.052863,81.1796875,0,0
express-plain,express,plain,get,100,2,0,6808.54,83.14,408483,14.06,13,18,19,434,0,0,0,318.9666666698456,120,98.4895,100.49,37.022166666666664,37.82,17.842175,22.659071,81.359375,0,0
express-plain,express,plain,get,100,3,0,6747.2,66.04,404801,14.18,13,18,19,583,0,0,0,316.10000000953676,120,98.48483333333333,100.51,34.809666666666665,35.56,17.858559,21.446655,80.73828125,0,0
express-plain,express,plain,get,100,4,0,6820.34,71,409211,14.03,13,18,18,486,0,0,0,319.5416666698456,120,98.47283333333333,100.47,35.228833333333334,36.03,17.645567,22.364159,81.5,0,0
express-plain,express,plain,get,100,5,0,6704.07,77.58,402207,14.33,13,18,22,636,0,0,0,314.0875,120,98.42716666666666,100.52,34.20316666666667,35.81,18.694143,21.970943,80.46875,0,0
express-plain,express,plain,get,10,1,0,6918,83.56,415033,0.86,1,2,3,9,0,0,0,324.10000000953676,120,98.48866666666667,100.51,29.9665,30.68,11.943935,13.623295,77.53515625,0,0
express-plain,express,plain,get,10,2,0,6888.54,83.91,413278,0.9,1,2,3,8,0,0,0,322.7375,120,98.47633333333333,100.44,29.905666666666665,30.46,11.657215,13.721599,77.140625,0,0
express-plain,express,plain,get,10,3,0,6939.07,85.34,416302,0.82,1,2,3,8,0,0,0,325.0875,120,98.47683333333333,100.52,30.018833333333333,30.83,11.812863,14.180351,77.1953125,0,0
express-plain,express,plain,get,10,4,0,7000.07,91.64,419991,0.6,1,2,3,9,0,0,0,327.95416666984556,120,98.56183333333334,100.63,29.861333333333334,30.41,12.304383,15.458303,77.33984375,0,0
express-plain,express,plain,get,10,5,0,6847.07,80.19,410804,0.92,1,2,3,10,0,0,0,320.78750000953676,120,98.49,100.46,29.688833333333335,30.43,11.919359,14.229503,77.1484375,0,0
express-plain,express,plain,get,500,1,0,6533.74,91.23,391983,74.72,74,83,83,9972,0,50,50,306.1041666698456,120,98.41133333333333,100.5,44.79666666666667,45.89,84.082687,100.466687,87.54296875,0,0
express-plain,express,plain,get,500,2,0,6518.27,101.02,391066,75.32,75,84,84,9940,0,34,34,305.3791666698456,120,98.4815,100.6,44.5445,45.94,84.738047,87.228415,87.65625,0,0
express-plain,express,plain,get,500,3,0,6473.27,95.16,388380,75.45,75,84,84,9973,0,49,49,303.28750000953676,120,98.48116666666667,100.6,45.63733333333333,46.86,81.330175,91.160575,88.20703125,0,0
express-plain,express,plain,get,500,4,0,6717.8,95.29,403035,72.46,72,78,78,9966,0,58,58,314.7416666698456,120,98.47516666666667,100.5,44.64633333333333,46.11,78.839807,89.194495,87.48046875,0,0
express-plain,express,plain,get,500,5,0,6529,92.56,391714,74.94,75,83,84,9960,0,44,44,305.89583333969114,120,98.4525,100.54,44.951166666666666,46.2,84.213759,95.420415,87.28125,0,0
express-plain,express,plain,post,100,1,0,17431.74,606.53,1045852,5.06,4,9,9,237,0,0,0,8.660904951095581,120,98.6505,100.66,37.58733333333333,38.03,17.661951,24.199167,84.17578125,0,0
express-plain,express,plain,post,100,2,0,17248.67,908.51,1034875,5.13,4,9,10,304,0,0,0,8.569954433441161,120,98.64366666666666,100.69,38.66433333333333,39.4,18.776063,22.069247,84.4140625,0,0
express-plain,express,plain,post,100,3,0,17485,297.69,1049048,5.03,4,9,9,306,0,0,0,8.68746745109558,120,98.607,100.57,38.38883333333333,39.14,17.317887,22.020095,85.2265625,0,0
express-plain,express,plain,post,100,4,0,17741.14,347.67,1064383,4.98,4,9,9,233,0,0,0,8.81435546875,120,99.37958333333333,100.6,38.88041666666667,40.13,17.104895,23.085055,84.55859375,0,0
express-plain,express,plain,post,100,5,0,16311.74,694.71,978720,5.62,5,10,10,332,0,0,0,8.104850263595582,120,99.40116666666667,100.62,36.50066666666667,37.23,17.989631,24.788991,83.171875,0,0
express-plain,express,plain,post,10,1,0,18218.07,490.7,1093016,0.06,0,1,3,9,0,0,0,9.051204433441162,120,99.415,100.7,30.183833333333332,30.99,12.615679,18.989055,79.83984375,0,0
express-plain,express,plain,post,10,2,0,18534.67,370.52,1112047,0.06,0,1,3,9,0,0,0,9.208854169845582,120,99.43783333333333,100.7,31.085416666666667,31.76,12.705791,16.531455,79.72265625,0,0
express-plain,express,plain,post,10,3,0,17974.6,359.01,1078452,0.06,0,1,3,11,0,0,0,8.93111979484558,120,98.65516666666667,100.65,31.279833333333332,33.0,12.738559,19.382271,79.44921875,0,0
express-plain,express,plain,post,10,4,0,17942.07,415.77,1076554,0.06,0,1,3,9,0,0,0,8.915201826095581,120,98.663,100.68,30.9425,32.48,12.738559,16.826367,79.7890625,0,0
express-plain,express,plain,post,10,5,0,17544.2,381.92,1052589,0.06,0,1,3,8,0,0,0,8.716178388595582,120,98.6365,100.64,30.879,32.2,12.591103,16.072703,79.48828125,0,0
express-plain,express,plain,post,500,1,0,16119.07,223.97,967123,30.55,30,37,37,3488,0,0,0,8.008919277191161,120,98.61083333333333,100.65,57.553,58.21,34.832383,52.527103,98.47265625,0,0
