endpoint,io_ms,concorrencia,comparacao,ganho_pct,p_mann_whitney,cliffs_delta,magnitude
get,0,10,fastify-plain vs express-plain,58.54,0.00794,1.0,grande
get,0,10,fastify-schema vs express-zod,-8.52,0.00794,-1.0,grande
get,0,10,express-zod vs express-plain,0.25,0.54762,0.28,pequeno
get,0,10,fastify-schema vs fastify-plain,-42.16,0.00794,-1.0,grande
get,0,100,fastify-plain vs express-plain,62.81,0.00794,1.0,grande
get,0,100,fastify-schema vs express-zod,-6.45,0.00794,-1.0,grande
get,0,100,express-zod vs express-plain,-0.46,0.69048,-0.2,pequeno
get,0,100,fastify-schema vs fastify-plain,-42.81,0.00794,-1.0,grande
get,0,500,fastify-plain vs express-plain,66.0,0.00794,1.0,grande
get,0,500,fastify-schema vs express-zod,-3.84,0.00794,-1.0,grande
get,0,500,express-zod vs express-plain,-0.03,0.84127,0.12,desprezivel
get,0,500,fastify-schema vs fastify-plain,-42.09,0.00794,-1.0,grande
post,0,10,fastify-plain vs express-plain,205.29,0.00794,1.0,grande
post,0,10,fastify-schema vs express-zod,204.5,0.00794,1.0,grande
post,0,10,express-zod vs express-plain,-7.63,0.00794,-1.0,grande
post,0,10,fastify-schema vs fastify-plain,-7.87,0.00794,-1.0,grande
post,0,100,fastify-plain vs express-plain,201.2,0.00794,1.0,grande
post,0,100,fastify-schema vs express-zod,195.7,0.00794,1.0,grande
post,0,100,express-zod vs express-plain,-6.79,0.00794,-1.0,grande
post,0,100,fastify-schema vs fastify-plain,-8.49,0.00794,-1.0,grande
post,0,500,fastify-plain vs express-plain,192.27,0.00794,1.0,grande
post,0,500,fastify-schema vs express-zod,209.12,0.00794,1.0,grande
post,0,500,express-zod vs express-plain,-10.6,0.00794,-1.0,grande
post,0,500,fastify-schema vs fastify-plain,-5.45,0.00794,-1.0,grande
