endpoint,io_ms,concorrencia,arm,reps,rps_media,rps_dp,rps_cv_pct,lat_media_ms,p95_mediana_ms,p99_mediana_ms,p99_pior_ms,cpu_media_pct,mem_media_mb,loop_p99_ms,erro_pct,deriva_pct,enlace_pct,req_por_vcpu_hora,usd_por_milhao_req,vcpus_para_10k_rps
get,5,100,express-plain,5,11692.6,36.0,0.31,8.132,11,11,11,83.3,34.6,15.229,0.0,-0.02,0,50542791,0.0008,0.71
get,5,100,express-zod,5,11596.7,121.8,1.05,8.184,11,11,12,83.3,35.4,15.539,0.0,-1.23,0,50143389,0.0008,0.72
get,5,100,fastify-plain,5,14939.7,68.3,0.46,6.446,8,9,10,48.7,34.2,13.184,0.0,0.53,0,110547375,0.0004,0.33
get,5,100,fastify-schema,5,12411.2,53.9,0.43,7.336,10,11,11,61.8,35.2,14.513,0.0,-0.21,0,72329998,0.0006,0.5
get,50,100,express-plain,5,1955.0,2.2,0.11,50.646,53,54,54,18.0,32.4,12.213,0.0,-0.07,0,39157068,0.0011,0.92
get,50,100,express-zod,5,1953.4,2.4,0.12,50.692,53,54,54,18.2,33.1,12.313,0.0,0.08,0,38662849,0.0011,0.93
get,50,100,fastify-plain,5,1949.9,6.7,0.34,50.82,53,54,55,8.9,33.9,12.283,0.0,0.52,0,79072367,0.0005,0.46
get,50,100,fastify-schema,5,1923.8,9.3,0.48,51.476,54,56,57,12.7,35.0,13.335,0.0,-0.22,0,54650643,0.0008,0.66
post,5,100,express-plain,5,13579.4,24.3,0.18,6.926,10,11,11,84.7,37.3,15.309,0.0,0.21,0,57734888,0.0007,0.62
post,5,100,express-zod,5,13600.2,57.3,0.42,6.9,11,12,12,88.7,38.2,15.619,0.0,-0.49,0,55200060,0.0008,0.65
post,5,100,fastify-plain,5,17216.6,29.9,0.17,5.182,7,8,8,36.6,36.7,12.419,0.0,0.07,0,169551839,0.0003,0.21
post,5,100,fastify-schema,5,16928.9,29.9,0.18,5.336,7,8,8,37.4,38.2,12.486,0.0,0.2,0,163076280,0.0003,0.22
post,50,100,express-plain,5,1973.6,1.9,0.1,50.154,52,53,53,17.3,33.9,11.895,0.0,0.15,0,40988200,0.001,0.88
post,50,100,express-zod,5,1974.3,0.8,0.04,50.136,52,53,53,17.8,34.7,11.926,0.0,0.04,0,39950257,0.0011,0.9
post,50,100,fastify-plain,5,1967.1,1.6,0.08,50.332,52,53,54,8.0,35.3,11.513,0.0,0.1,0,89040442,0.0005,0.4
post,50,100,fastify-schema,5,1968.3,1.8,0.09,50.296,52,53,54,8.4,36.6,11.556,0.0,0.08,0,84379022,0.0005,0.43
